code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
300057,万顺新材,广告包装,广东,60.59,4.98,6.74,71.67,38.8,17.97,18.19,2.7,0.052000000000000005,5.03,1.25,20100226.0,8.29,1.23,10.58,-25.02,9.12,1.56,22830.0,0.0
300076,GQY视讯,IT设备,浙江,148.73,3.82,4.24,10.92,9.26,0.65,5.08,1.2,0.02,2.42,2.5,20100430.0,0.63,0.15,29.49,-50.21,29.66,13.87,25684.0,0.0
300606,金太阳,矿物制品,广东,23.03,0.54,0.93,7.24,4.99,1.31,1.17,1.25,0.59,5.78,4.66,20170208.0,3.32,3.56,12.13,118.94,50.45,24.59,10636.0,0.0
600489,中金黄金,黄金,北京,53.36,34.51,48.47,464.66,198.68,154.31,75.03,1.55,0.12,4.37,2.6,20030814.0,67.05,1.38,0.99,6.22,13.44,2.72,203307.0,0.0
2422,科伦药业,化学制药,四川,91.35,10.78,14.39,308.97,134.84,111.16,37.25,2.59,0.141,8.95,2.88,20100603.0,72.2,5.02,-18.95,-72.15,53.91,2.81,56853.0,0.0
300332,天壕环境,环境保护,北京,68.09,8.33,8.8,80.84,30.11,20.73,18.34,2.08,0.043,3.92,1.49,20120628.0,6.74,0.77,-9.11,-10.46,21.62,5.1,27296.0,0.0
300669,沪宁股份,机械基件,浙江,87.82,0.98,1.11,5.95,4.11,1.21,2.81,2.53,0.204,4.7,7.64,20170629.0,1.18,1.06,0.36,1.09,32.6,14.77,3218.0,0.0
2737,葵花药业,中成药,黑龙江,21.15,5.39,5.84,47.74,25.82,11.4,8.9,1.52,0.406,4.93,3.48,20141230.0,11.4,1.95,-32.97,-22.4,56.42,14.82,48127.0,0.0
603898,好莱客,家居用品,广东,38.51,3.1,3.1,35.85,16.27,11.45,7.88,2.54,0.248,7.53,2.53,20150217.0,12.33,3.98,-21.01,-48.44,37.65,10.36,8872.0,0.0
600662,强生控股,公共交通,上海,79.5,10.53,10.53,69.62,27.18,15.67,6.81,0.65,0.067,3.08,3.43,19930614.0,10.48,0.99,-29.11,-39.48,5.93,5.23,77143.0,0.0
2253,川大智胜,软件服务,四川,121.88,2.07,2.26,17.26,6.98,4.38,8.29,3.67,0.071,6.13,2.82,20080623.0,2.61,1.16,6.97,45.94,33.92,13.91,35815.0,0.0
