nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277
第109次尝试:a1 = 7872, a2 = 1404, a3 = 2530, a4 = 92, a5 = 1601, 年化收益率: 0.14799967941832176

第110次尝试:a1 = 6945, a2 = 9436, a3 = 8532, a4 = 6137, a5 = 5539, 年化收益率: 0.12270861340298482

第111次尝试:a1 = 4132, a2 = 9362, a3 = 340, a4 = 9121, a5 = 1980, 年化收益率: 0.2922775362888513

第112次尝试:a1 = 2673, a2 = 8137, a3 = 8250, a4 = 5510, a5 = 1618, 年化收益率: 0.1294917268415062

第113次尝试:a1 = 9925, a2 = 7879, a3 = 2154, a4 = 8500, a5 = 2591, 年化收益率: 0.22068394683426404

第114次尝试:a1 = 5069, a2 = 7221, a3 = 673, a4 = 8308, a5 = 6512, 年化收益率: 0.1373794553092869

第115次尝试:a1 = 8205, a2 = 8894, a3 = 1250, a4 = 7552, a5 = 1854, 年化收益率: 0.26981783587967373

第116次尝试:a1 = 863, a2 = 4495, a3 = 5089, a4 = 3888, a5 = 4440, 年化收益率: 0.15836815832849596

第117次尝试:a1 = 8995, a2 = 2294, a3 = 727, a4 = 7097, a5 = 3779, 年化收益率: 0.20529001068966277

第118次尝试:a1 = 5286, a2 = 323, a3 = 4530, a4 = 2896, a5 = 6693, 年化收益率: 0.1490343513874224

第119次尝试:a1 = 574, a2 = 948, a3 = 3149, a4 = 4889, a5 = 1435, 年化收益率: 0.3245398044276568

第120次尝试:a1 = 1894, a2 = 1997, a3 = 1091, a4 = 489, a5 = 7564, 年化收益率: 0.11520264925873801

第121次尝试:a1 = 9232, a2 = 6202, a3 = 4890, a4 = 9086, a5 = 1021, 年化收益率: 0.3291337756898447

第122次尝试:a1 = 3620, a2 = 3462, a3 = 3042, a4 = 2712, a5 = 5865, 年化收益率: 0.1583681583284961

第123次尝试:a1 = 8682, a2 = 746, a3 = 5942, a4 = 2154, a5 = 3858, 年化收益率: 0.12918407602172152

第124次尝试:a1 = 5514, a2 = 3874, a3 = 1867, a4 = 1294, a5 = 4503, 年化收益率: 0.15836815832849596

第125次尝试:a1 = 8507, a2 = 2864, a3 = 7464, a4 = 6797, a5 = 8584, 年化收益率: 0.1583681583284961

第126次尝试:a1 = 8760, a2 = 1302, a3 = 304, a4 = 2605, a5 = 4783, 年化收益率: 0.1490343513874224

第127次尝试:a1 = 2653, a2 = 8675, a3 = 3426, a4 = 9246, a5 = 4526, 年化收益率: 0.18336736742042423

第128次尝试:a1 = 487, a2 = 5314, a3 = 2706, a4 = 3632, a5 = 9368, 年化收益率: 0.1583681583284961

第129次尝试:a1 = 2038, a2 = 5695, a3 = 6965, a4 = 8014, a5 = 2978, 年化收益率: 0.18336736742042423

第130次尝试:a1 = 8985, a2 = 4507, a3 = 1080, a4 = 2766, a5 = 5186, 年化收益率: 0.15836815832849596

第131次尝试:a1 = 1317, a2 = 6100, a3 = 9804, a4 = 853, a5 = 807, 年化收益率: 0.13263041389050845

第132次尝试:a1 = 6661, a2 = 5255, a3 = 4247, a4 = 46, a5 = 5538, 年化收益率: 0.15836815832849596

第133次尝试:a1 = 5483, a2 = 2588, a3 = 9580, a4 = 6238, a5 = 8871, 年化收益率: 0.1583681583284961

第134次尝试:a1 = 7980, a2 = 2768, a3 = 3615, a4 = 4163, a5 = 7419, 年化收益率: 0.1583681583284961

第135次尝试:a1 = 373, a2 = 5705, a3 = 4122, a4 = 7446, a5 = 7959, 年化收益率: 0.1583681583284961

第136次尝试:a1 = 2473, a2 = 570, a3 = 4576, a4 = 3552, a5 = 6563, 年化收益率: 0.1490343513874224

第137次尝试:a1 = 8674, a2 = 6214, a3 = 118, a4 = 7790, a5 = 3951, 年化收益率: 0.11174583917034087

第138次尝试:a1 = 1957, a2 = 375, a3 = 9824, a4 = 2805, a5 = 8966, 年化收益率: 0.11520264925873801

